IDfg,Season,Name,Age,wOBA_proj,wOBA_proj_lower,wOBA_proj_upper,wOBA_marcel,wOBA_actual_2024,Team,error
2136,2024,David Peralta,36,0.32543490904967676,0.2767866918795099,0.373564783329425,0.304840980773399,0.329,SDP,0.0035650909503232575
2396,2024,Carlos Santana,38,0.3191280285951429,0.2714922207726899,0.36630516772975413,0.30772972890920314,0.326,MIN,0.0068719714048571245
2967,2024,Tommy Pham,36,0.35008862693947296,0.3015834208775525,0.39854470716806345,0.31139608930632284,0.297,- - -,0.05308862693947297
3473,2024,Anthony Rizzo,34,0.34779201759650286,0.3005994971639433,0.3951951419135223,0.3195032011003145,0.285,NYY,0.06279201759650288
4940,2024,Jason Heyward,34,0.3356021854122694,0.28833412879901776,0.38196301348639183,0.306402049117449,0.3,- - -,0.035602185412269394
4949,2024,Giancarlo Stanton,34,0.36047606732832765,0.3127324257925019,0.4075553089368328,0.3165112940842627,0.33,NYY,0.03047606732832764
5235,2024,Justin Turner,39,0.341458100460051,0.2936757729548601,0.38802361807457963,0.32805001232459596,0.327,- - -,0.014458100460050971
5254,2024,Robbie Grossman,34,0.3536010682640393,0.305787981761754,0.400683578701717,0.3097545871200035,0.283,- - -,0.070601068264039335
5297,2024,Aaron Hicks,34,0.28175552330550424,0.23383338937959425,0.32975056785494894,0.3044776236840091,0.196,LAA,0.08575552330550423
5343,2024,Brandon Crawford,37,0.2899982586932853,0.24214145665678838,0.33730379888541445,0.3062069150877039,0.248,STL,0.04199825869328533
5361,2024,Freddie Freeman,34,0.37901849268782634,0.33070589053403204,0.42552476448394405,0.35886553006799393,0.365,LAD,0.014018492687826345
5417,2024,Jose Altuve,34,0.35140174238393185,0.30447271863415515,0.39748991968902686,0.3461184535417885,0.344,HOU,0.007401742383931875
5517,2024,Kyle Higashioka,34,0.3196375881391516,0.268603469097325,0.36986646705290704,0.29793437674447365,0.314,SDP,0.005637588139151606
5760,2024,Avisail Garcia,33,0.3437090065737652,0.2961854838188336,0.3909223417539443,0.2995047104002598,0.274,MIA,0.06970900657376516
5827,2024,Wilmer Flores,32,0.3347360834051923,0.2873322342824242,0.38153895045884445,0.321436535858737,0.262,SFG,0.07273608340519228
6184,2024,J.D. Martinez,36,0.40943389361106713,0.36170313269610255,0.4561413290380118,0.33304209825124564,0.318,NYM,0.09143389361106713
6887,2024,Martin Maldonado,37,0.3033359274466374,0.25622650653461904,0.35044871440931097,0.2859381347676725,0.181,CHW,0.1223359274466374
7304,2024,Salvador Perez,34,0.331293798643834,0.284291887327944,0.3782627525581049,0.31527544276487146,0.335,KCR,0.0037062013561660057
7739,2024,Travis d'Arnaud,35,0.32541145162647483,0.2771151407615479,0.37274729577161264,0.30891705779563594,0.319,ATL,0.006411451626474829
7802,2024,Miguel Rojas,35,0.31133992669403626,0.2630540881322753,0.35888247134873436,0.29284010616766554,0.327,LAD,0.01566007330596375
7859,2024,Charlie Blackmon,37,0.3543098197170751,0.30654079350385477,0.4011750264587375,0.31881735785105725,0.323,COL,0.03130981971707508
8090,2024,Matt Carpenter,38,0.30459554385418236,0.25676501145797687,0.3517451052056432,0.3117345684504854,0.303,STL,0.0015955438541823685
8623,2024,Donovan Solano,36,0.3281519644703445,0.2796447809240802,0.37690826929223575,0.31499480312239014,0.333,SDP,0.004848035529655514
9218,2024,Paul Goldschmidt,36,0.36928498379544117,0.32164037152084374,0.4162299818398912,0.3465808677330603,0.31,STL,0.05928498379544117
9241,2024,Starling Marte,35,0.3108060819222884,0.26312487594938627,0.3583714465296791,0.317955213708903,0.313,NYM,0.0021939180777115763
9627,2024,Yan Gomes,36,0.30118015827358985,0.25338809003317847,0.34838440218321276,0.30248816387178123,0.184,CHC,0.11718015827358985
9774,2024,Christian Vazquez,33,0.29084296693066636,0.24246631769000823,0.33883110153265766,0.29676043575974964,0.25,MIN,0.04084296693066636
9777,2024,Nolan Arenado,33,0.354226146296686,0.30671656839001116,0.4017952215948455,0.3281799580348917,0.314,STL,0.04022614629668597
9847,2024,Andrew McCutchen,37,0.3220601388890615,0.2750593094727352,0.36854811414254923,0.31727925938089585,0.325,PIT,0.002939861110938524
9874,2024,DJ LeMahieu,35,0.3313356601733744,0.2832725856559601,0.3786572455088884,0.3124404801971835,0.239,NYY,0.09233566017337441
